,array_size,Insertion_Sort_real_time,Insertion_Sort_user_time,Insertion_Sort_sys_time,Insertion_Sort_maximum_resident_set_size,Insertion_Sort_page_reclaims,Insertion_Sort_voluntary_context_switches,Insertion_Sort_involuntary_context_switches,Insertion_Sort_instructions_retired,Insertion_Sort_cycles_elapsed,Insertion_Sort_peak_memory_footprint
0,5000.0,0.07,0.07,0.0,798720.0,315.0,1.0,187.0,284697059.0,239395811.0,380928.0
1,6000.0,0.09,0.08,0.0,794624.0,314.0,1.0,13.0,402969483.0,327356545.0,376832.0
2,7000.0,0.12,0.12,0.0,802816.0,316.0,2.0,58.0,542004309.0,452158986.0,385024.0
3,8000.0,0.16,0.15,0.0,811008.0,318.0,1.0,13.0,700193981.0,593928158.0,393216.0
4,9000.0,0.21,0.2,0.0,811008.0,318.0,1.0,75.0,878491469.0,755220532.0,393216.0
5,10000.0,0.26,0.25,0.0,815104.0,319.0,2.0,709.0,1076517637.0,943932956.0,397312.0
6,11000.0,0.31,0.3,0.0,827392.0,322.0,2.0,478.0,1294273930.0,1144732036.0,409600.0
7,12000.0,0.38,0.36,0.0,831488.0,324.0,2.0,661.0,1538253011.0,1366575755.0,413696.0
8,13000.0,0.45,0.43,0.0,835584.0,326.0,2.0,1103.0,1791306467.0,1626942287.0,417792.0
9,14000.0,0.53,0.5,0.0,839680.0,325.0,1.0,1121.0,2067105167.0,1897906995.0,421888.0
10,15000.0,0.59,0.57,0.0,856064.0,329.0,1.0,997.0,2356855668.0,2144374046.0,438272.0
11,16000.0,0.68,0.65,0.0,839680.0,325.0,1.0,1483.0,2670194461.0,2446209924.0,421888.0
12,17000.0,0.75,0.74,0.0,851968.0,328.0,2.0,377.0,2989498352.0,2762512480.0,434176.0
13,18000.0,0.84,0.82,0.0,856064.0,329.0,1.0,246.0,3339374205.0,3074747774.0,438272.0
14,19000.0,0.94,0.92,0.0,860160.0,330.0,2.0,760.0,3705045718.0,3428994754.0,442368.0
15,20000.0,1.04,1.01,0.0,856064.0,329.0,1.0,1252.0,4094506798.0,3782354441.0,438272.0
16,21000.0,1.15,1.12,0.0,868352.0,332.0,1.0,1586.0,4491487491.0,4156991236.0,450560.0
17,22000.0,1.26,1.22,0.0,864256.0,331.0,2.0,1744.0,4903532022.0,4561735448.0,446464.0
18,23000.0,1.39,1.35,0.01,876544.0,334.0,2.0,2517.0,5359694504.0,5019772496.0,458752.0
19,24000.0,1.47,1.45,0.0,880640.0,338.0,1.0,1231.0,5795056025.0,5358478549.0,462848.0
20,25000.0,1.62,1.57,0.01,884736.0,336.0,1.0,2631.0,6271322317.0,5863933844.0,466944.0
21,26000.0,1.74,1.7,0.0,888832.0,337.0,1.0,2298.0,6762585588.0,6309654502.0,471040.0
22,27000.0,1.86,1.81,0.0,884736.0,336.0,1.0,2300.0,7263252881.0,6743574994.0,466944.0
23,28000.0,1.97,1.94,0.0,925696.0,347.0,1.0,908.0,7795095811.0,7198191113.0,507904.0
24,29000.0,2.15,2.08,0.02,901120.0,340.0,1.0,5739.0,8326681711.0,7757689275.0,483328.0
